date,max_windspeed,time_of_max
2025-07-10,11.0,12:00
2025-07-11,12.0,14:00
2025-07-12,15.0,11:00
2025-07-13,13.0,17:00
2025-07-14,15.0,17:00
2025-07-15,15.0,14:00
2025-07-16,11.0,13:00
