Administrative Counties,age,Both sexes,female,male
Offaly County Council,59,956,467,489
Offaly County Council,60,982,519,463
Offaly County Council,61,1025,483,542
Offaly County Council,62,974,489,485
Offaly County Council,63,875,443,432
Offaly County Council,64,811,405,406
Offaly County Council,65,870,400,470
Offaly County Council,66,849,436,413
Offaly County Council,67,795,389,406
Offaly County Council,68,736,399,337
Offaly County Council,69,763,354,409
Offaly County Council,70,735,366,369
Offaly County Council,71,710,353,357
Offaly County Council,72,697,376,321
Offaly County Council,73,660,332,328
Offaly County Council,74,637,309,328
Offaly County Council,75,606,317,289
Offaly County Council,76,562,290,272
Offaly County Council,77,496,248,248
Offaly County Council,78,439,231,208
Offaly County Council,79,442,229,213
Offaly County Council,80,360,202,158
Offaly County Council,81,309,163,146
Offaly County Council,82,319,160,159
Offaly County Council,83,313,179,134
Offaly County Council,84,251,146,105
Offaly County Council,85,295,168,127
Offaly County Council,86,225,131,94
Offaly County Council,87,173,100,73
Offaly County Council,88,178,106,72
Offaly County Council,89,120,62,58
Offaly County Council,90,107,63,44
Offaly County Council,91,77,48,29
Offaly County Council,92,57,32,25
Offaly County Council,93,48,39,9
Offaly County Council,94,50,30,20
Offaly County Council,95,27,19,8
Offaly County Council,96,19,11,8
Offaly County Council,97,16,13,3
Offaly County Council,98,8,7,1
Offaly County Council,99,4,4,0
Offaly County Council,100,5,4,1
Roscommon County Council,-1,70259,35089,35170
Roscommon County Council,1,1512,750,762
Roscommon County Council,2,893,428,465
Roscommon County Council,3,859,418,441
Roscommon County Council,4,833,406,427
Roscommon County Council,5,913,442,471
Roscommon County Council,6,923,473,450
Roscommon County Council,7,1011,504,507
Roscommon County Council,8,982,470,512
Roscommon County Council,9,1029,483,546
Roscommon County Council,10,1008,484,524
Roscommon County Council,11,1058,505,553
Roscommon County Council,12,1047,539,508
Roscommon County Council,13,1037,488,549
Roscommon County Council,14,996,473,523
Roscommon County Council,15,1002,491,511
Roscommon County Council,16,1014,511,503
Roscommon County Council,17,963,482,481
Roscommon County Council,18,899,412,487
Roscommon County Council,19,728,355,373
Roscommon County Council,20,696,321,375
Roscommon County Council,21,688,345,343
Roscommon County Council,22,665,318,347
Roscommon County Council,23,643,307,336
Roscommon County Council,24,561,276,285
Roscommon County Council,25,612,300,312
Roscommon County Council,26,580,264,316
Roscommon County Council,27,568,293,275
Roscommon County Council,28,580,283,297
Roscommon County Council,29,629,315,314
Roscommon County Council,30,675,360,315
Roscommon County Council,31,728,385,343
Roscommon County Council,32,736,355,381
Roscommon County Council,33,732,373,359
Roscommon County Council,34,782,399,383
Roscommon County Council,35,896,476,420
Roscommon County Council,36,924,459,465
Roscommon County Council,37,949,518,431
Roscommon County Council,38,1005,513,492
Roscommon County Council,39,979,509,470
Roscommon County Council,40,1045,556,489
Roscommon County Council,41,1100,554,546
Roscommon County Council,42,1079,541,538
Roscommon County Council,43,1007,535,472
Roscommon County Council,44,981,503,478
Roscommon County Council,45,951,470,481
Roscommon County Council,46,1000,519,481
Roscommon County Council,47,1031,502,529
Roscommon County Council,48,992,484,508
Roscommon County Council,49,957,455,502
Roscommon County Council,50,990,502,488
Roscommon County Council,51,956,461,495
Roscommon County Council,52,991,478,513
Roscommon County Council,53,909,441,468
Roscommon County Council,54,886,441,445
Roscommon County Council,55,965,474,491
Roscommon County Council,56,913,452,461
Roscommon County Council,57,887,432,455
Roscommon County Council,58,960,462,498
Roscommon County Council,59,897,453,444
Roscommon County Council,60,893,461,432
Roscommon County Council,61,910,437,473
Roscommon County Council,62,848,439,409
Roscommon County Council,63,851,415,436
Roscommon County Council,64,884,454,430
Roscommon County Council,65,827,404,423
Roscommon County Council,66,823,411,412
Roscommon County Council,67,833,414,419
Roscommon County Council,68,794,393,401
Roscommon County Council,69,758,352,406
Roscommon County Council,70,756,361,395
Roscommon County Council,71,676,321,355
Roscommon County Council,72,669,378,291
Roscommon County Council,73,617,298,319
Roscommon County Council,74,625,307,318
Roscommon County Council,75,573,289,284
Roscommon County Council,76,592,295,297
Roscommon County Council,77,466,229,237
Roscommon County Council,78,461,231,230
Roscommon County Council,79,422,203,219
Roscommon County Council,80,362,191,171
Roscommon County Council,81,335,184,151
Roscommon County Council,82,322,175,147
Roscommon County Council,83,317,167,150
Roscommon County Council,84,249,130,119
Roscommon County Council,85,235,126,109
Roscommon County Council,86,235,129,106
Roscommon County Council,87,226,134,92
Roscommon County Council,88,177,102,75
Roscommon County Council,89,149,100,49
Roscommon County Council,90,137,88,49
Roscommon County Council,91,96,56,40
Roscommon County Council,92,76,54,22
Roscommon County Council,93,71,51,20
Roscommon County Council,94,55,32,23
Roscommon County Council,95,38,30,8
Roscommon County Council,96,28,19,9
Roscommon County Council,97,13,12,1
Roscommon County Council,98,7,6,1
Roscommon County Council,99,9,6,3
Roscommon County Council,100,12,7,5
Sligo County Council,-1,70198,35669,34529
Sligo County Council,1,1509,750,759
Sligo County Council,2,764,360,404
Sligo County Council,3,825,405,420
Sligo County Council,4,820,408,412
Sligo County Council,5,819,392,427
Sligo County Council,6,824,401,423
Sligo County Council,7,934,426,508
Sligo County Council,8,942,461,481
Sligo County Council,9,960,448,512
Sligo County Council,10,1018,465,553
Sligo County Council,11,956,459,497
Sligo County Council,12,1027,506,521
Sligo County Council,13,983,503,480
Sligo County Council,14,992,467,525
Sligo County Council,15,954,442,512
Sligo County Council,16,916,455,461
Sligo County Council,17,933,452,481
Sligo County Council,18,897,462,435
Sligo County Council,19,922,503,419
Sligo County Council,20,877,450,427
Sligo County Council,21,858,409,449
Sligo County Council,22,815,404,411
Sligo County Council,23,752,387,365
Sligo County Council,24,737,364,373
Sligo County Council,25,710,351,359
Sligo County Council,26,629,313,316
Sligo County Council,27,631,294,337
Sligo County Council,28,615,305,310
Sligo County Council,29,707,380,327
Sligo County Council,30,668,334,334
Sligo County Council,31,695,361,334
Sligo County Council,32,742,381,361
Sligo County Council,33,753,432,321
Sligo County Council,34,786,416,370
Sligo County Council,35,840,441,399
Sligo County Council,36,935,491,444
Sligo County Council,37,938,515,423
Sligo County Council,38,1016,523,493
Sligo County Council,39,1023,514,509
Sligo County Council,40,1029,538,491
Sligo County Council,41,1055,546,509
Sligo County Council,42,1089,548,541
Sligo County Council,43,1039,557,482
Sligo County Council,44,981,475,506
Sligo County Council,45,1000,508,492
Sligo County Council,46,975,506,469
Sligo County Council,47,1023,515,508
Sligo County Council,48,945,479,466
Sligo County Council,49,981,533,448
Sligo County Council,50,911,487,424
Sligo County Council,51,935,440,495
Sligo County Council,52,942,479,463
Sligo County Council,53,862,424,438
Sligo County Council,54,935,448,487
Sligo County Council,55,912,461,451
Sligo County Council,56,888,473,415
Sligo County Council,57,868,448,420
Sligo County Council,58,944,480,464
Sligo County Council,59,905,454,451
Sligo County Council,60,862,433,429
Sligo County Council,61,910,469,441
Sligo County Council,62,944,508,436
Sligo County Council,63,799,396,403
Sligo County Council,64,839,438,401
Sligo County Council,65,843,433,410
Sligo County Council,66,769,406,363
Sligo County Council,67,776,386,390
Sligo County Council,68,767,409,358
Sligo County Council,69,774,403,371
Sligo County Council,70,690,357,333
Sligo County Council,71,735,349,386
Sligo County Council,72,686,341,345
Sligo County Council,73,667,322,345
Sligo County Council,74,642,329,313
Sligo County Council,75,583,313,270
Sligo County Council,76,562,292,270
Sligo County Council,77,511,277,234
Sligo County Council,78,452,234,218
Sligo County Council,79,457,235,222
Sligo County Council,80,379,203,176
Sligo County Council,81,340,177,163
Sligo County Council,82,298,160,138
Sligo County Council,83,298,165,133
Sligo County Council,84,237,127,110
Sligo County Council,85,260,146,114
Sligo County Council,86,222,130,92
Sligo County Council,87,194,103,91
Sligo County Council,88,168,100,68
Sligo County Council,89,140,87,53
Sligo County Council,90,105,60,45
Sligo County Council,91,86,56,30
Sligo County Council,92,54,38,16
Sligo County Council,93,51,35,16
Sligo County Council,94,57,45,12
Sligo County Council,95,23,18,5
Sligo County Council,96,21,14,7
Sligo County Council,97,22,18,4
Sligo County Council,98,12,11,1
Sligo County Council,99,10,8,2
Sligo County Council,100,12,9,3
South Dublin County Council,-1,301075,153829,147246
South Dublin County Council,1,7217,3440,3777
South Dublin County Council,2,3734,1867,1867
South Dublin County Council,3,3856,1859,1997
South Dublin County Council,4,3870,1868,2002
South Dublin County Council,5,4053,1946,2107
South Dublin County Council,6,4198,2057,2141
South Dublin County Council,7,4394,2092,2302
South Dublin County Council,8,4503,2183,2320
South Dublin County Council,9,4522,2224,2298
South Dublin County Council,10,4797,2270,2527
South Dublin County Council,11,4732,2350,2382
South Dublin County Council,12,4855,2396,2459
South Dublin County Council,13,4677,2304,2373
South Dublin County Council,14,4581,2222,2359
South Dublin County Council,15,4273,2126,2147
South Dublin County Council,16,4082,1978,2104
South Dublin County Council,17,4112,2034,2078
South Dublin County Council,18,3971,1949,2022
South Dublin County Council,19,3952,1911,2041
South Dublin County Council,20,3700,1796,1904
South Dublin County Council,21,3683,1783,1900
South Dublin County Council,22,3724,1851,1873
South Dublin County Council,23,3783,1884,1899
South Dublin County Council,24,3650,1795,1855
South Dublin County Council,25,3634,1873,1761
South Dublin County Council,26,3394,1681,1713
South Dublin County Council,27,3538,1793,1745
South Dublin County Council,28,3546,1805,1741
South Dublin County Council,29,3636,1850,1786
South Dublin County Council,30,3821,2002,1819
South Dublin County Council,31,3963,2065,1898
South Dublin County Council,32,4048,2161,1887
South Dublin County Council,33,4079,2184,1895
South Dublin County Council,34,4370,2330,2040
South Dublin County Council,35,4463,2409,2054
South Dublin County Council,36,4843,2539,2304
South Dublin County Council,37,4868,2541,2327
South Dublin County Council,38,4929,2511,2418
South Dublin County Council,39,5217,2797,2420
South Dublin County Council,40,5397,2822,2575
South Dublin County Council,41,5402,2792,2610
South Dublin County Council,42,5428,2802,2626
South Dublin County Council,43,5275,2720,2555
South Dublin County Council,44,4623,2293,2330
South Dublin County Council,45,4504,2282,2222
South Dublin County Council,46,4446,2301,2145
South Dublin County Council,47,4247,2142,2105
South Dublin County Council,48,4243,2159,2084
South Dublin County Council,49,4193,2123,2070
South Dublin County Council,50,3895,1969,1926
South Dublin County Council,51,3834,1940,1894
South Dublin County Council,52,3698,1843,1855
South Dublin County Council,53,3463,1730,1733
South Dublin County Council,54,3334,1685,1649
South Dublin County Council,55,3254,1632,1622
South Dublin County Council,56,3031,1548,1483
South Dublin County Council,57,3246,1755,1491
South Dublin County Council,58,3089,1644,1445
South Dublin County Council,59,3057,1587,1470
South Dublin County Council,60,2982,1547,1435
South Dublin County Council,61,2980,1542,1438
South Dublin County Council,62,2869,1559,1310
South Dublin County Council,63,2761,1452,1309
South Dublin County Council,64,2722,1445,1277
South Dublin County Council,65,2647,1450,1197
South Dublin County Council,66,2639,1435,1204
South Dublin County Council,67,2631,1403,1228
South Dublin County Council,68,2495,1350,1145
South Dublin County Council,69,2570,1416,1154
South Dublin County Council,70,2475,1327,1148
South Dublin County Council,71,2419,1307,1112
South Dublin County Council,72,2358,1251,1107
South Dublin County Council,73,2139,1145,994
South Dublin County Council,74,1973,1008,965
South Dublin County Council,75,1803,978,825
South Dublin County Council,76,1736,908,828
South Dublin County Council,77,1509,792,717
South Dublin County Council,78,1393,782,611
South Dublin County Council,79,1205,670,535
South Dublin County Council,80,1022,550,472
South Dublin County Council,81,992,558,434
South Dublin County Council,82,901,491,410
South Dublin County Council,83,798,455,343
South Dublin County Council,84,711,421,290
South Dublin County Council,85,644,394,250
South Dublin County Council,86,530,304,226
South Dublin County Council,87,474,271,203
South Dublin County Council,88,379,241,138
South Dublin County Council,89,319,188,131
South Dublin County Council,90,289,168,121
South Dublin County Council,91,210,119,91
South Dublin County Council,92,146,96,50
South Dublin County Council,93,115,84,31
South Dublin County Council,94,100,72,28
South Dublin County Council,95,63,40,23
South Dublin County Council,96,41,34,7
South Dublin County Council,97,38,29,9
South Dublin County Council,98,17,13,4
South Dublin County Council,99,17,10,7
South Dublin County Council,100,36,29,7
Tipperary County Council,-1,167895,84256,83639
Tipperary County Council,1,3740,1787,1953
Tipperary County Council,2,1836,879,957
Tipperary County Council,3,2048,1019,1029
Tipperary County Council,4,2072,998,1074
Tipperary County Council,5,2070,987,1083
Tipperary County Council,6,2202,1079,1123
Tipperary County Council,7,2236,1088,1148
Tipperary County Council,8,2314,1156,1158
Tipperary County Council,9,2267,1140,1127
Tipperary County Council,10,2475,1185,1290
Tipperary County Council,11,2431,1163,1268
Tipperary County Council,12,2571,1225,1346
Tipperary County Council,13,2502,1246,1256
Tipperary County Council,14,2522,1259,1263
Tipperary County Council,15,2428,1178,1250
Tipperary County Council,16,2312,1152,1160
Tipperary County Council,17,2456,1216,1240
Tipperary County Council,18,2135,1046,1089
Tipperary County Council,19,1776,846,930
Tipperary County Council,20,1823,853,970
Tipperary County Council,21,1755,816,939
Tipperary County Council,22,1782,873,909
Tipperary County Council,23,1696,830,866
Tipperary County Council,24,1709,867,842
Tipperary County Council,25,1622,778,844
Tipperary County Council,26,1530,762,768
Tipperary County Council,27,1547,772,775
Tipperary County Council,28,1576,767,809
Tipperary County Council,29,1620,797,823
Tipperary County Council,30,1744,917,827
Tipperary County Council,31,1775,908,867
Tipperary County Council,32,1814,947,867
Tipperary County Council,33,1829,945,884
Tipperary County Council,34,1963,1024,939
Tipperary County Council,35,2157,1175,982
Tipperary County Council,36,2146,1135,1011
Tipperary County Council,37,2159,1140,1019
Tipperary County Council,38,2318,1194,1124
Tipperary County Council,39,2436,1300,1136
Tipperary County Council,40,2523,1297,1226
Tipperary County Council,41,2580,1333,1247
Tipperary County Council,42,2581,1327,1254
Tipperary County Council,43,2485,1250,1235
Tipperary County Council,44,2382,1210,1172
Tipperary County Council,45,2443,1206,1237
Tipperary County Council,46,2346,1152,1194
Tipperary County Council,47,2500,1242,1258
Tipperary County Council,48,2392,1225,1167
Tipperary County Council,49,2505,1263,1242
Tipperary County Council,50,2305,1174,1131
Tipperary County Council,51,2351,1177,1174
Tipperary County Council,52,2277,1129,1148
Tipperary County Council,53,2200,1064,1136
Tipperary County Council,54,2253,1129,1124
Tipperary County Council,55,2248,1139,1109
Tipperary County Council,56,2183,1053,1130
Tipperary County Council,57,2233,1076,1157
Tipperary County Council,58,2195,1114,1081
Tipperary County Council,59,2198,1074,1124
Tipperary County Council,60,2053,1055,998
Tipperary County Council,61,2127,1030,1097
Tipperary County Council,62,1945,987,958
Tipperary County Council,63,1869,930,939
Tipperary County Council,64,1971,974,997
Tipperary County Council,65,1875,915,960
Tipperary County Council,66,1834,886,948
Tipperary County Council,67,1804,896,908
Tipperary County Council,68,1738,823,915
Tipperary County Council,69,1723,848,875
Tipperary County Council,70,1637,832,805
Tipperary County Council,71,1531,751,780
Tipperary County Council,72,1530,741,789
Tipperary County Council,73,1479,755,724
Tipperary County Council,74,1459,759,700
Tipperary County Council,75,1297,671,626
Tipperary County Council,76,1301,674,627
Tipperary County Council,77,1211,630,581
Tipperary County Council,78,1043,523,520
Tipperary County Council,79,1010,524,486
Tipperary County Council,80,804,421,383
Tipperary County Council,81,775,420,355
Tipperary County Council,82,749,416,333
Tipperary County Council,83,678,374,304
Tipperary County Council,84,611,339,272
Tipperary County Council,85,551,308,243
Tipperary County Council,86,503,293,210
Tipperary County Council,87,430,269,161
Tipperary County Council,88,364,219,145
Tipperary County Council,89,332,191,141
Tipperary County Council,90,280,181,99
Tipperary County Council,91,230,150,80
Tipperary County Council,92,170,102,68
Tipperary County Council,93,118,73,45
Tipperary County Council,94,91,63,28
Tipperary County Council,95,70,49,21
Tipperary County Council,96,41,34,7
Tipperary County Council,97,33,27,6
Tipperary County Council,98,21,16,5
Tipperary County Council,99,10,5,5
Tipperary County Council,100,23,19,4
Waterford City & County Council,-1,127363,64268,63095
Waterford City & County Council,1,2606,1264,1342
Waterford City & County Council,2,1329,665,664
Waterford City & County Council,3,1476,721,755
Waterford City & County Council,4,1390,634,756
Waterford City & County Council,5,1515,728,787
Waterford City & County Council,6,1627,780,847
Waterford City & County Council,7,1689,841,848
Waterford City & County Council,8,1736,820,916
Waterford City & County Council,9,1727,826,901
Waterford City & County Council,10,1775,871,904
Waterford City & County Council,11,1877,943,934
Waterford City & County Council,12,1933,949,984
Waterford City & County Council,13,1927,985,942
Waterford City & County Council,14,1856,896,960
Waterford City & County Council,15,1826,872,954
Waterford City & County Council,16,1811,866,945
Waterford City & County Council,17,1725,862,863
Waterford City & County Council,18,1699,817,882
Waterford City & County Council,19,1593,767,826
Waterford City & County Council,20,1564,770,794
Waterford City & County Council,21,1481,709,772
Waterford City & County Council,22,1471,720,751
Waterford City & County Council,23,1462,722,740
Waterford City & County Council,24,1349,638,711
Waterford City & County Council,25,1267,613,654
Waterford City & County Council,26,1264,623,641
Waterford City & County Council,27,1304,665,639
Waterford City & County Council,28,1262,655,607
Waterford City & County Council,29,1320,698,622
Waterford City & County Council,30,1434,715,719
Waterford City & County Council,31,1461,749,712
Waterford City & County Council,32,1550,779,771
Waterford City & County Council,33,1462,776,686
Waterford City & County Council,34,1557,846,711
Waterford City & County Council,35,1745,938,807
Waterford City & County Council,36,1737,905,832
Waterford City & County Council,37,1712,889,823
Waterford City & County Council,38,1805,954,851
Waterford City & County Council,39,1828,977,851
Waterford City & County Council,40,1876,978,898
Waterford City & County Council,41,1999,1039,960
Waterford City & County Council,42,2094,1072,1022
Waterford City & County Council,43,1983,975,1008
Waterford City & County Council,44,1940,1010,930
Waterford City & County Council,45,1919,998,921
Waterford City & County Council,46,1799,921,878
Waterford City & County Council,47,1830,944,886
Waterford City & County Council,48,1798,913,885
Waterford City & County Council,49,1826,917,909
Waterford City & County Council,50,1754,885,869
Waterford City & County Council,51,1776,909,867
Waterford City & County Council,52,1707,871,836
Waterford City & County Council,53,1696,815,881
Waterford City & County Council,54,1611,805,806
Waterford City & County Council,55,1686,814,872
Waterford City & County Council,56,1649,821,828
Waterford City & County Council,57,1664,844,820
Waterford City & County Council,58,1628,819,809
Waterford City & County Council,59,1655,818,837
Waterford City & County Council,60,1579,810,769
Waterford City & County Council,61,1487,757,730
Waterford City & County Council,62,1495,735,760
Waterford City & County Council,63,1393,694,699
Waterford City & County Council,64,1335,692,643
Waterford City & County Council,65,1331,641,690
Waterford City & County Council,66,1271,652,619
Waterford City & County Council,67,1348,656,692
Waterford City & County Council,68,1203,585,618
Waterford City & County Council,69,1194,616,578
Waterford City & County Council,70,1150,578,572
Waterford City & County Council,71,1100,553,547
Waterford City & County Council,72,1076,571,505
Waterford City & County Council,73,1068,559,509
Waterford City & County Council,74,1000,500,500
Waterford City & County Council,75,1059,513,546
Waterford City & County Council,76,938,511,427
Waterford City & County Council,77,835,422,413
Waterford City & County Council,78,761,411,350
Waterford City & County Council,79,699,350,349
Waterford City & County Council,80,656,335,321
Waterford City & County Council,81,585,309,276
Waterford City & County Council,82,502,256,246
Waterford City & County Council,83,501,268,233
Waterford City & County Council,84,429,262,167
Waterford City & County Council,85,396,213,183
Waterford City & County Council,86,354,186,168
Waterford City & County Council,87,328,198,130
Waterford City & County Council,88,266,158,108
Waterford City & County Council,89,226,149,77
Waterford City & County Council,90,204,126,78
Waterford City & County Council,91,171,108,63
Waterford City & County Council,92,120,87,33
Waterford City & County Council,93,70,45,25
Waterford City & County Council,94,57,40,17
Waterford City & County Council,95,33,29,4
Waterford City & County Council,96,26,19,7
Waterford City & County Council,97,20,15,5
Waterford City & County Council,98,17,13,4
Waterford City & County Council,99,19,15,4
Waterford City & County Council,100,19,15,4
Westmeath County Council,-1,96221,48500,47721
Westmeath County Council,1,2287,1137,1150
Westmeath County Council,2,1108,532,576
Westmeath County Council,3,1148,558,590
Westmeath County Council,4,1208,609,599
Westmeath County Council,5,1276,617,659
Westmeath County Council,6,1352,668,684
Westmeath County Council,7,1331,677,654
Westmeath County Council,8,1412,712,700
Westmeath County Council,9,1454,706,748
Westmeath County Council,10,1405,690,715
Westmeath County Council,11,1484,714,770
Westmeath County Council,12,1466,714,752
Westmeath County Council,13,1426,683,743
Westmeath County Council,14,1422,689,733
Westmeath County Council,15,1362,659,703
Westmeath County Council,16,1348,635,713
Westmeath County Council,17,1328,643,685
Westmeath County Council,18,1264,623,641
Westmeath County Council,19,1117,532,585
Westmeath County Council,20,1105,543,562
Westmeath County Council,21,1097,525,572
Westmeath County Council,22,1103,568,535
Westmeath County Council,23,1052,468,584
Westmeath County Council,24,1077,510,567
Westmeath County Council,25,1041,524,517
Westmeath County Council,26,1038,511,527
Westmeath County Council,27,1029,524,505
Westmeath County Council,28,972,501,471
Westmeath County Council,29,1095,540,555
Westmeath County Council,30,1098,575,523
Westmeath County Council,31,1192,590,602
Westmeath County Council,32,1195,633,562
Westmeath County Council,33,1189,607,582
Westmeath County Council,34,1238,663,575
Westmeath County Council,35,1397,731,666
Westmeath County Council,36,1502,780,722
Westmeath County Council,37,1438,719,719
Westmeath County Council,38,1451,794,657
Westmeath County Council,39,1515,757,758
Westmeath County Council,40,1504,781,723
Westmeath County Council,41,1561,802,759
Westmeath County Council,42,1539,761,778
Westmeath County Council,43,1462,789,673
Westmeath County Council,44,1394,715,679
Westmeath County Council,45,1377,676,701
Westmeath County Council,46,1305,661,644
Westmeath County Council,47,1454,742,712
Westmeath County Council,48,1392,736,656
Westmeath County Council,49,1341,657,684
Westmeath County Council,50,1329,656,673
Westmeath County Council,51,1321,667,654
Westmeath County Council,52,1308,656,652
Westmeath County Council,53,1272,627,645
Westmeath County Council,54,1223,618,605
Westmeath County Council,55,1199,608,591
Westmeath County Council,56,1130,588,542
Westmeath County Council,57,1231,646,585
Westmeath County Council,58,1153,586,567
Westmeath County Council,59,1167,574,593
Westmeath County Council,60,1087,522,565
Westmeath County Council,61,1065,548,517
Westmeath County Council,62,1051,517,534
Westmeath County Council,63,984,486,498
Westmeath County Council,64,981,498,483
Westmeath County Council,65,990,488,502
Westmeath County Council,66,936,463,473
Westmeath County Council,67,931,474,457
Westmeath County Council,68,859,438,421
Westmeath County Council,69,872,448,424
Westmeath County Council,70,765,374,391
Westmeath County Council,71,735,361,374
Westmeath County Council,72,741,374,367
Westmeath County Council,73,743,356,387
Westmeath County Council,74,686,373,313
Westmeath County Council,75,634,344,290
Westmeath County Council,76,586,300,286
Westmeath County Council,77,598,308,290
Westmeath County Council,78,519,271,248
Westmeath County Council,79,478,272,206
Westmeath County Council,80,397,195,202
Westmeath County Council,81,380,193,187
Westmeath County Council,82,328,187,141
Westmeath County Council,83,346,200,146
Westmeath County Council,84,275,159,116
Westmeath County Council,85,274,144,130
Westmeath County Council,86,242,131,111
Westmeath County Council,87,228,129,99
Westmeath County Council,88,167,98,69
Westmeath County Council,89,131,78,53
Westmeath County Council,90,123,84,39
Westmeath County Council,91,109,73,36
Westmeath County Council,92,73,44,29
Westmeath County Council,93,60,44,16
Westmeath County Council,94,47,36,11
Westmeath County Council,95,40,28,12
Westmeath County Council,96,24,17,7
Westmeath County Council,97,23,18,5
Westmeath County Council,98,11,8,3
Westmeath County Council,99,6,3,3
Westmeath County Council,100,12,9,3
Wexford County Council,-1,163919,83142,80777
Wexford County Council,1,3516,1760,1756
Wexford County Council,2,1835,921,914
Wexford County Council,3,1864,903,961
Wexford County Council,4,1941,921,1020
Wexford County Council,5,2022,1000,1022
Wexford County Council,6,2165,1058,1107
Wexford County Council,7,2233,1069,1164
Wexford County Council,8,2292,1104,1188
Wexford County Council,9,2354,1119,1235
Wexford County Council,10,2373,1107,1266
Wexford County Council,11,2410,1190,1220
Wexford County Council,12,2443,1228,1215
Wexford County Council,13,2621,1283,1338
Wexford County Council,14,2413,1200,1213
Wexford County Council,15,2361,1170,1191
Wexford County Council,16,2305,1108,1197
Wexford County Council,17,2266,1062,1204
Wexford County Council,18,2226,1084,1142
Wexford County Council,19,1813,872,941
Wexford County Council,20,1764,832,932
Wexford County Council,21,1582,781,801
Wexford County Council,22,1766,888,878
Wexford County Council,23,1722,868,854
Wexford County Council,24,1595,758,837
Wexford County Council,25,1537,744,793
Wexford County Council,26,1580,777,803
Wexford County Council,27,1582,839,743
Wexford County Council,28,1537,797,740
Wexford County Council,29,1629,869,760
Wexford County Council,30,1817,940,877
Wexford County Council,31,1859,914,945
Wexford County Council,32,1882,976,906
Wexford County Council,33,1830,1009,821
Wexford County Council,34,2019,1058,961
Wexford County Council,35,2138,1152,986
Wexford County Council,36,2131,1122,1009
Wexford County Council,37,2177,1175,1002
Wexford County Council,38,2306,1239,1067
Wexford County Council,39,2308,1230,1078
Wexford County Council,40,2519,1347,1172
Wexford County Council,41,2613,1320,1293
Wexford County Council,42,2709,1407,1302
Wexford County Council,43,2445,1326,1119
Wexford County Council,44,2315,1201,1114
Wexford County Council,45,2421,1255,1166
Wexford County Council,46,2289,1152,1137
Wexford County Council,47,2345,1219,1126
Wexford County Council,48,2313,1154,1159
Wexford County Council,49,2413,1229,1184
Wexford County Council,50,2437,1244,1193
Wexford County Council,51,2342,1160,1182
Wexford County Council,52,2335,1156,1179
Wexford County Council,53,2185,1086,1099
Wexford County Council,54,2165,1107,1058
Wexford County Council,55,2228,1147,1081
Wexford County Council,56,2094,1081,1013
Wexford County Council,57,2258,1178,1080
Wexford County Council,58,2138,1096,1042
Wexford County Council,59,2052,1067,985
Wexford County Council,60,2050,1035,1015
Wexford County Council,61,2064,1085,979
Wexford County Council,62,1936,974,962
Wexford County Council,63,1847,918,929
Wexford County Council,64,1789,919,870
Wexford County Council,65,1745,841,904
Wexford County Council,66,1661,844,817
Wexford County Council,67,1741,847,894
Wexford County Council,68,1642,857,785
Wexford County Council,69,1628,810,818
Wexford County Council,70,1528,740,788
Wexford County Council,71,1484,717,767
Wexford County Council,72,1498,751,747
Wexford County Council,73,1403,747,656
Wexford County Council,74,1303,649,654
Wexford County Council,75,1280,636,644
Wexford County Council,76,1188,625,563
Wexford County Council,77,1090,567,523
Wexford County Council,78,1056,547,509
Wexford County Council,79,912,467,445
Wexford County Council,80,833,398,435
Wexford County Council,81,763,396,367
Wexford County Council,82,670,358,312
Wexford County Council,83,651,355,296
Wexford County Council,84,553,299,254
Wexford County Council,85,503,287,216
Wexford County Council,86,443,260,183
Wexford County Council,87,366,226,140
Wexford County Council,88,323,170,153
Wexford County Council,89,257,159,98
Wexford County Council,90,217,139,78
Wexford County Council,91,177,115,62
Wexford County Council,92,125,80,45
Wexford County Council,93,110,76,34
Wexford County Council,94,64,42,22
Wexford County Council,95,51,36,15
Wexford County Council,96,42,33,9
Wexford County Council,97,37,31,6
Wexford County Council,98,22,18,4
Wexford County Council,99,21,15,6
Wexford County Council,100,16,14,2
Wicklow County Council,-1,155851,79287,76564
Wicklow County Council,1,3392,1620,1772
Wicklow County Council,2,1796,890,906
Wicklow County Council,3,1862,886,976
Wicklow County Council,4,1897,887,1010
Wicklow County Council,5,2076,1013,1063
Wicklow County Council,6,2116,1026,1090
Wicklow County Council,7,2197,1045,1152
Wicklow County Council,8,2237,1105,1132
Wicklow County Council,9,2364,1161,1203
Wicklow County Council,10,2322,1139,1183
Wicklow County Council,11,2539,1292,1247
Wicklow County Council,12,2525,1264,1261
Wicklow County Council,13,2447,1153,1294
Wicklow County Council,14,2484,1238,1246
Wicklow County Council,15,2320,1125,1195
Wicklow County Council,16,2131,1054,1077
Wicklow County Council,17,2232,1064,1168
Wicklow County Council,18,2012,1015,997
Wicklow County Council,19,1865,900,965
Wicklow County Council,20,1716,808,908
Wicklow County Council,21,1623,744,879
Wicklow County Council,22,1659,789,870
Wicklow County Council,23,1535,724,811
Wicklow County Council,24,1408,683,725
Wicklow County Council,25,1345,658,687
Wicklow County Council,26,1380,713,667
Wicklow County Council,27,1400,718,682
Wicklow County Council,28,1443,736,707
Wicklow County Council,29,1499,803,696
Wicklow County Council,30,1525,837,688
Wicklow County Council,31,1673,890,783
Wicklow County Council,32,1702,875,827
