iter	RMSE
0	27.37644152
1	27.35070657
2	27.32740874
3	27.27277422
4	27.25564345
5	27.2411315
6	27.22841172
7	27.21881718
8	27.18506319
9	27.14111216
10	27.13071519
11	27.09021428
12	27.05147386
13	27.04156699
14	27.00925894
15	27.00098412
16	26.96837601
17	26.95732328
18	26.94899309
19	26.92213144
20	26.89780326
21	26.89148359
22	26.88017472
23	26.84817732
24	26.83849864
25	26.81873358
26	26.81468095
27	26.80560331
28	26.79408149
29	26.76759434
30	26.7593348
31	26.75467338
32	26.73867054
33	26.72325215
34	26.71009043
35	26.68790202
36	26.6759094
37	26.67172217
38	26.66379603
39	26.65269225
40	26.64493357
41	26.64034235
42	26.62534344
43	26.61751515
44	26.60875594
45	26.60050944
46	26.59729392
47	26.59493461
48	26.59273409
49	26.58600621
50	26.57881661
51	26.5723939
52	26.56537312
53	26.55952225
54	26.55404805
55	26.54965202
56	26.54335763
57	26.53671142
58	26.50909974
59	26.50444272
60	26.50226249
61	26.49534733
62	26.49057112
63	26.48598053
64	26.48135502
65	26.46107793
66	26.45695064
67	26.44974794
68	26.44739446
69	26.44268228
70	26.4407805
71	26.43573028
72	26.4313135
73	26.42765184
74	26.42500016
75	26.42291622
76	26.41938454
77	26.41582871
78	26.4089127
79	26.40511531
80	26.39123532
81	26.38580163
82	26.38289653
83	26.37706043
84	26.37611217
85	26.37299188
86	26.36844074
87	26.36705985
88	26.36328264
89	26.36100041
90	26.35864414
91	26.35714935
92	26.35513256
93	26.35243286
94	26.34964605
95	26.34793261
96	26.34482498
97	26.3421325
98	26.3368177
99	26.32726063
100	26.32420244
101	26.31905414
102	26.31590793
103	26.31350308
104	26.31037192
105	26.3086424
106	26.30324562
107	26.29972719
108	26.29812607
109	26.29457305
110	26.29169481
111	26.28917586
112	26.28778932
113	26.28558715
114	26.28081224
115	26.27804229
116	26.27511593
117	26.27301503
118	26.27137567
119	26.26935811
120	26.26720844
121	26.26539603
122	26.26246092
123	26.26073853
124	26.25801783
125	26.25641375
126	26.2526236
127	26.25108945
128	26.24963742
129	26.2454997
130	26.24162683
131	26.240226
132	26.23415031
133	26.21950337
134	26.21658976
135	26.21408014
136	26.21277254
137	26.21059917
138	26.20845425
139	26.20379681
140	26.19800621
141	26.19404385
142	26.19290898
143	26.18991935
144	26.18579614
145	26.18472611
146	26.18157001
147	26.1805454
148	26.1756251
149	26.17465361
150	26.17373848
151	26.17082846
152	26.16995746
153	26.16783463
154	26.16699027
155	26.1662005
156	26.16428006
157	26.15883911
158	26.15807383
159	26.15675842
160	26.154312
161	26.15247349
162	26.15178204
163	26.15097873
164	26.15032127
165	26.14772488
166	26.14512876
167	26.14217987
168	26.13985824
169	26.13503237
170	26.13296439
171	26.13236967
172	26.12966545
173	26.12865516
174	26.12546037
175	26.12234147
176	26.12056566
177	26.11770167
178	26.11296739
179	26.10994596
180	26.10709424
181	26.10453221
182	26.10396084
183	26.10166767
184	26.09931058
185	26.08977452
186	26.0884923
187	26.08601929
188	26.08550994
189	26.08423703
190	26.08171674
191	26.07662489
192	26.07574916
193	26.07240914
194	26.07049611
195	26.06783993
196	26.06737205
197	26.06541846
198	26.06386104
199	26.06168576
200	26.05925566
201	26.05834092
202	26.05521889
203	26.04721583
204	26.0439725
205	26.0417223
206	26.03977055
207	26.03831673
208	26.03542243
209	26.03498335
210	26.03447201
211	26.0333131
212	26.03157932
213	26.02392437
214	26.02165279
215	26.02028719
216	26.02000591
217	26.01477833
218	26.01161837
219	26.00966167
220	26.00927331
221	26.00673699
222	26.00529782
223	26.00451743
224	26.00059182
225	25.99752428
226	25.99734021
227	25.99699774
228	25.99497723
229	25.99338732
230	25.99167926
231	25.99028662
232	25.9891661
233	25.98884136
234	25.98821072
235	25.98683584
236	25.98635553
237	25.98460348
238	25.9841691
239	25.98386065
240	25.9815817
241	25.9800926
242	25.97926123
243	25.97897179
244	25.97807485
245	25.97474988
