iter	RMSE
246	25.97367348
247	25.97284417
248	25.97085115
249	25.97057219
250	25.96935658
251	25.96692388
252	25.96414705
253	25.96157518
254	25.95762455
255	25.95583795
256	25.95411409
257	25.95154402
258	25.94846051
259	25.94687056
260	25.94501959
261	25.94363239
262	25.939262
263	25.93676563
264	25.93216958
265	25.93137466
266	25.92959805
267	25.92810442
268	25.92692403
269	25.92550843
270	25.92431922
271	25.92310453
272	25.92099011
273	25.91889569
274	25.91667167
275	25.91268793
276	25.91152726
277	25.90963253
278	25.90850088
279	25.90749719
280	25.90509288
281	25.9048508
282	25.90462141
283	25.90154186
284	25.9004956
285	25.89894489
286	25.89819014
287	25.89672657
288	25.89347955
289	25.89327215
290	25.89040199
291	25.88907448
292	25.88721189
293	25.88447722
294	25.88217153
295	25.8797948
296	25.87868523
297	25.87761084
298	25.87613843
299	25.87304798
300	25.87102286
301	25.87063969
302	25.8680835
303	25.86723262
304	25.8655967
305	25.86441309
306	25.86265065
307	25.85762064
308	25.8567011
309	25.85517348
310	25.85242151
311	25.85223501
312	25.85205942
313	25.85079228
314	25.84968385
315	25.84613672
316	25.84242187
317	25.84129817
318	25.84052709
319	25.83958602
320	25.83844399
321	25.83558221
322	25.8344119
323	25.83363609
324	25.83250196
325	25.83110341
326	25.82979969
327	25.82837692
328	25.82810936
329	25.82736028
330	25.82522071
331	25.8231359
332	25.82247794
333	25.82100806
334	25.81934009
335	25.81897932
336	25.81766834
337	25.81731425
338	25.81446279
339	25.81433379
340	25.81418736
341	25.81306263
342	25.81210061
343	25.81131988
344	25.81030454
345	25.81008504
346	25.80995106
347	25.80891213
348	25.80656195
349	25.80450246
350	25.80056133
351	25.7990768
352	25.79863343
353	25.79812818
354	25.79754057
355	25.79685342
356	25.79672488
357	25.79474927
358	25.79336095
359	25.79261456
360	25.79145008
361	25.79015292
362	25.78890413
363	25.78754771
364	25.78608256
365	25.78415338
366	25.78402194
367	25.78268856
368	25.7822569
369	25.78176648
370	25.78164715
371	25.77894829
372	25.77860286
373	25.77609177
374	25.77572318
375	25.77504674
376	25.77491938
377	25.77403968
378	25.77319609
379	25.77145366
380	25.77133265
381	25.76902367
382	25.76707849
383	25.76400035
384	25.76271114
385	25.75878627
386	25.75721437
387	25.75517176
388	25.75336487
389	25.75217733
390	25.7494933
391	25.74917313
392	25.74672759
393	25.74629665
394	25.74544734
395	25.74452226
396	25.74356048
397	25.74346007
398	25.74188377
399	25.74000027
400	25.73935185
401	25.73830693
402	25.73774017
403	25.73520139
404	25.73300091
405	25.73132526
406	25.73113356
407	25.73077333
408	25.72983335
409	25.7284803
410	25.72770322
411	25.72635381
412	25.72373394
413	25.72243626
414	25.72178979
415	25.72051111
416	25.7186486
417	25.71647108
418	25.71587537
419	25.71460691
420	25.71358836
421	25.71291722
422	25.7124399
423	25.7120023
424	25.71131357
425	25.70997925
426	25.7092618
427	25.70895494
428	25.70811398
429	25.70743176
430	25.70734069
431	25.706308
432	25.7056997
433	25.70474105
434	25.70394587
435	25.70386224
436	25.70282688
437	25.70187424
438	25.70024047
439	25.699305
440	25.69809154
441	25.69606839
442	25.69584756
443	25.69333435
444	25.69230587
445	25.69218598
446	25.69122682
447	25.68935808
448	25.68816352
449	25.68776194
450	25.68638663
451	25.68418085
452	25.68369382
453	25.68266368
454	25.68162241
455	25.67937559
456	25.67881991
457	25.67877425
458	25.67807808
459	25.67680867
460	25.67578564
461	25.67437374
462	25.67321708
463	25.67305233
464	25.6727002
465	25.67189949
466	25.67116576
467	25.67083548
468	25.67043189
469	25.67006912
470	25.66978823
471	25.66844732
472	25.66738616
473	25.66733225
474	25.66662152
475	25.66548033
476	25.66481697
477	25.66455263
478	25.66369427
479	25.66161473
480	25.66105627
481	25.660121
482	25.65959532
483	25.65815082
484	25.65717779
485	25.65625008
486	25.65578878
487	25.65509108
488	25.65358046
489	25.65311912
490	25.65211382
491	25.65028069
492	25.6497208
493	25.64828943
494	25.64778619
495	25.64644686
496	25.64532849
497	25.64383334
498	25.6418868
499	25.63961158
