iter	Passed	Remaining
416	3648	726
417	3657	717
418	3666	708
419	3674	699
420	3683	691
421	3691	682
422	3700	673
423	3709	664
424	3719	656
425	3727	647
426	3736	638
427	3745	630
428	3754	621
429	3763	612
430	3771	603
431	3780	595
432	3789	586
433	3798	577
434	3807	568
435	3818	560
436	3826	551
437	3835	542
438	3844	534
439	3853	525
440	3863	516
441	3872	508
442	3880	499
443	3889	490
444	3898	481
445	3906	472
446	3915	464
447	3923	455
448	3931	446
449	3940	437
450	3948	428
451	3956	420
452	3965	411
453	3973	402
454	3982	393
455	3988	384
456	3998	376
457	4007	367
458	4016	358
459	4026	350
460	4035	341
461	4043	332
462	4052	323
463	4061	315
464	4069	306
465	4079	297
466	4088	288
467	4097	280
468	4106	271
469	4115	262
470	4124	253
471	4133	245
472	4143	236
473	4151	227
474	4161	219
475	4170	210
476	4179	201
477	4188	192
478	4198	184
479	4207	175
480	4215	166
481	4223	157
482	4231	148
483	4240	140
484	4249	131
485	4258	122
486	4266	113
487	4276	105
488	4285	96
489	4295	87
490	4304	78
491	4312	70
492	4321	61
493	4329	52
494	4338	43
495	4347	35
496	4356	26
497	4364	17
498	4374	8
499	4382	0
