Code,Type,Description,Count
11,Past,Patches of shallow fog or ice fog,2378
62,Past,"Rain showers, moderate or heavy",347
65,Past,"Continuous rain, moderate or heavy",271
66,Past,Continuous rain mixed with snow or ice pellets,69
81,Past,"Rain showers, violent",66
82,Past,Thunderstorm with rain,244
